TIPO_ELECCION;AÑO;MES;VUELTA;COD_CCAA;COD_PROV;COD_MUN;DISTRITO;SECCION;MESA;CENSO;CENSO_ESCR_CERA;CENSO_CERE_ESCR;VOTOS_CERE;VOTOS_1AVANCE;VOTOS_2AVANCE;VOTOS_BLANCO;VOTOS_NULOS;VOTOS_CAND;REFR_SI;REFR_NO;DATOS_OFICIALES
4;2015;5;1;15;30;24;2;11;A;664;664;26;0;224;326;3;2;402;0;0;S
4;2015;5;1;15;30;24;2;11;B;404;404;2;0;134;214;4;5;282;0;0;S
4;2015;5;1;15;30;24;2;12;A;563;563;9;0;196;279;6;9;329;0;0;S
4;2015;5;1;15;30;24;2;12;B;705;705;14;0;242;357;1;19;426;0;0;S
4;2015;5;1;15;30;24;2;13;A;431;431;4;0;124;178;7;6;227;0;0;S
4;2015;5;1;15;30;24;2;13;B;573;573;0;0;170;225;6;17;284;0;0;S
4;2015;5;1;15;30;24;2;14;U;666;666;49;0;200;325;4;4;409;0;0;S
4;2015;5;1;15;30;24;2;15;A;482;482;7;0;133;193;2;6;260;0;0;S
4;2015;5;1;15;30;24;2;15;B;274;274;7;0;107;135;0;2;161;0;0;S
4;2015;5;1;15;30;24;2;16;U;848;848;14;0;300;405;5;6;547;0;0;S
4;2015;5;1;15;30;24;2;17;A;894;894;12;0;356;525;3;6;621;0;0;S
4;2015;5;1;15;30;24;2;17;B;435;435;3;0;162;240;3;2;303;0;0;S
4;2015;5;1;15;30;24;2;19;A;259;259;2;0;77;116;0;10;160;0;0;S
4;2015;5;1;15;30;24;2;19;B;365;365;9;0;165;215;2;6;252;0;0;S
4;2015;5;1;15;30;24;2;21;U;809;809;1;0;259;359;9;8;472;0;0;S
4;2015;5;1;15;30;24;2;22;A;422;422;1;0;135;175;4;3;235;0;0;S
4;2015;5;1;15;30;24;2;22;B;534;534;2;0;152;216;4;8;278;0;0;S
4;2015;5;1;15;30;24;2;23;U;714;714;14;0;246;331;5;4;383;0;0;S
4;2015;5;1;15;30;24;2;25;U;795;795;12;0;262;379;14;8;428;0;0;S
4;2015;5;1;15;30;24;2;26;A;518;518;0;0;165;230;5;6;289;0;0;S
4;2015;5;1;15;30;24;2;26;B;566;566;1;0;182;281;5;12;342;0;0;S
4;2015;5;1;15;30;24;2;28;U;553;553;0;0;168;229;2;0;272;0;0;S
4;2015;5;1;15;30;24;2;29;U;754;754;12;0;213;322;10;8;413;0;0;S
4;2015;5;1;15;30;25;1;1;U;538;538;2;0;273;363;6;18;398;0;0;S
4;2015;5;1;15;30;25;1;2;U;697;692;5;0;276;395;10;9;463;0;0;S
4;2015;5;1;15;30;25;1;3;U;833;833;1;0;389;510;9;16;605;0;0;S
4;2015;5;1;15;30;25;1;4;U;829;829;3;0;384;502;4;13;606;0;0;S
4;2015;5;1;15;30;25;1;5;U;590;590;0;0;260;346;13;5;396;0;0;S
4;2015;5;1;15;30;25;1;6;U;772;772;4;0;339;450;9;13;530;0;0;S
4;2015;5;1;15;30;25;1;7;U;694;694;7;0;309;408;12;6;505;0;0;S
4;2015;5;1;15;30;26;1;1;U;898;898;23;0;293;461;5;21;592;0;0;S
4;2015;5;1;15;30;26;1;2;A;495;495;12;0;181;250;2;9;332;0;0;S
4;2015;5;1;15;30;26;1;2;B;526;526;11;0;178;260;4;12;338;0;0;S
4;2015;5;1;15;30;26;1;3;U;666;666;14;0;237;356;0;6;451;0;0;S
4;2015;5;1;15;30;26;1;4;A;630;630;36;0;210;334;5;4;431;0;0;S
4;2015;5;1;15;30;26;1;4;B;228;228;28;0;55;95;1;6;150;0;0;S
4;2015;5;1;15;30;26;1;5;A;491;491;47;0;150;242;1;6;323;0;0;S
4;2015;5;1;15;30;26;1;5;B;694;694;210;0;236;344;4;11;405;0;0;S
4;2015;5;1;15;30;26;1;6;U;774;774;66;0;298;387;6;16;446;0;0;S
4;2015;5;1;15;30;26;1;7;U;740;740;43;0;251;319;5;9;478;0;0;S
4;2015;5;1;15;30;26;1;8;U;789;789;12;0;292;378;7;17;505;0;0;S
4;2015;5;1;15;30;26;1;9;U;673;673;103;0;196;282;7;8;336;0;0;S
4;2015;5;1;15;30;26;1;10;A;938;938;689;0;262;340;1;4;396;0;0;S
4;2015;5;1;15;30;26;1;10;B;952;952;614;0;245;344;1;10;414;0;0;S
4;2015;5;1;16;26;36;2;4;C;588;588;8;0;211;285;6;5;372;0;0;S
4;2015;5;1;16;26;36;3;1;U;758;758;2;0;337;425;4;11;502;0;0;S
4;2015;5;1;16;26;36;3;2;A;855;855;9;0;330;448;15;11;540;0;0;S
4;2015;5;1;16;26;36;3;2;B;773;773;2;0;263;381;7;8;471;0;0;S
4;2015;5;1;16;26;36;3;3;A;741;741;16;0;285;386;8;15;466;0;0;S
4;2015;5;1;16;26;36;3;3;B;787;787;22;0;288;391;11;12;488;0;0;S
4;2015;5;1;16;26;36;3;4;A;685;685;12;0;271;352;10;9;416;0;0;S
4;2015;5;1;16;26;36;3;4;B;697;697;7;0;256;349;4;6;447;0;0;S
4;2015;5;1;16;26;36;3;5;U;767;767;11;0;289;376;10;12;450;0;0;S
4;2015;5;1;16;26;36;3;6;A;747;747;1;0;262;380;13;5;453;0;0;S
4;2015;5;1;16;26;36;3;6;B;550;550;3;0;225;300;5;11;379;0;0;S
4;2015;5;1;16;26;36;3;6;C;549;549;3;0;277;299;8;3;370;0;0;S
4;2015;5;1;16;26;36;3;7;A;813;813;9;0;324;402;7;10;518;0;0;S
4;2015;5;1;16;26;36;3;7;B;712;712;9;0;253;338;4;6;437;0;0;S
4;2015;5;1;16;26;36;3;8;A;528;528;7;0;219;276;9;11;343;0;0;S
4;2015;5;1;16;26;36;3;8;B;567;567;2;0;255;325;3;10;378;0;0;S
4;2015;5;1;16;26;36;3;9;A;864;864;21;0;217;397;14;17;518;0;0;S
4;2015;5;1;16;26;36;3;9;B;871;871;12;0;286;414;5;16;530;0;0;S
4;2015;5;1;16;26;42;1;1;A;478;478;14;0;226;322;7;13;388;0;0;S
4;2015;5;1;16;26;42;1;1;B;400;400;23;0;188;277;14;7;324;0;0;S
4;2015;5;1;16;26;43;1;1;U;377;377;8;0;154;214;50;22;181;0;0;S
4;2015;5;1;16;26;46;1;1;A;524;524;13;0;233;332;4;11;381;0;0;S
4;2015;5;1;16;26;46;1;1;B;537;537;12;0;230;326;4;3;405;0;0;S
4;2015;5;1;16;26;46;1;2;U;573;573;11;0;274;359;1;4;438;0;0;S
4;2015;5;1;16;26;47;1;1;A;783;783;6;0;390;541;12;16;622;0;0;S
4;2015;5;1;16;26;47;1;1;B;369;369;2;0;207;271;5;14;297;0;0;S
4;2015;5;1;16;26;47;3;1;A;194;194;1;0;95;135;2;1;171;0;0;S
4;2015;5;1;16;26;47;3;1;B;167;167;0;0;83;108;0;0;148;0;0;S
4;2015;5;1;16;26;47;3;1;C;477;477;1;0;241;349;14;12;408;0;0;S
4;2015;5;1;16;26;51;1;1;U;256;256;4;0;132;181;6;7;224;0;0;S
4;2015;5;1;16;26;53;1;1;U;215;215;5;0;116;156;6;5;167;0;0;S
4;2015;5;1;16;26;54;1;1;U;320;320;0;0;186;231;3;6;264;0;0;S
4;2015;5;1;16;26;56;1;1;U;438;438;12;0;214;295;7;7;352;0;0;S
4;2015;5;1;16;26;59;1;1;A;548;548;14;0;230;316;6;21;382;0;0;S
4;2015;5;1;16;26;59;1;1;B;581;581;5;0;264;380;11;5;447;0;0;S
4;2015;5;1;16;26;61;1;1;A;746;746;19;0;257;444;20;24;494;0;0;S
4;2015;5;1;16;26;61;1;1;B;836;836;8;0;285;486;31;39;530;0;0;S
4;2015;5;1;16;26;64;1;1;A;480;480;8;0;208;290;4;6;347;0;0;S
4;2015;5;1;16;26;64;1;1;B;434;434;8;0;185;264;8;2;324;0;0;S
4;2015;5;1;16;26;64;1;2;A;647;647;9;0;328;410;7;10;492;0;0;S
4;2015;5;1;16;26;64;1;2;B;756;756;10;0;340;449;9;6;559;0;0;S
4;2015;5;1;16;26;66;1;1;U;278;278;9;0;161;182;28;4;191;0;0;S
4;2015;5;1;16;26;69;1;1;U;251;251;6;0;145;174;5;12;188;0;0;S
4;2015;5;1;16;26;71;1;1;U;580;580;4;0;211;297;4;9;332;0;0;S
4;2015;5;1;16;26;71;2;1;A;792;792;6;0;279;384;12;13;475;0;0;S
4;2015;5;1;16;26;71;2;1;B;773;773;5;0;302;412;9;18;499;0;0;S
4;2015;5;1;16;26;71;2;2;U;564;564;6;0;213;294;13;15;359;0;0;S
4;2015;5;1;16;26;71;3;1;A;519;519;3;0;165;207;7;10;293;0;0;S
4;2015;5;1;16;26;71;3;1;B;496;496;6;0;152;234;6;9;263;0;0;S
4;2015;5;1;16;26;71;4;1;A;708;708;2;0;243;357;6;24;438;0;0;S
4;2015;5;1;16;26;71;4;1;B;754;754;4;0;255;366;14;23;447;0;0;S
4;2015;5;1;16;26;71;4;2;U;759;759;8;0;243;355;11;10;465;0;0;S
4;2015;5;1;16;26;71;4;3;A;590;590;4;0;203;305;13;13;369;0;0;S
4;2015;5;1;16;26;71;4;3;B;626;626;3;0;217;306;16;23;375;0;0;S
4;2015;5;1;16;26;71;4;4;A;694;694;4;0;209;317;9;25;404;0;0;S
4;2015;5;1;16;26;71;4;4;B;710;710;7;0;248;342;17;15;415;0;0;S
4;2015;5;1;16;26;72;1;1;U;300;300;3;0;155;225;2;5;273;0;0;S
4;2015;5;1;16;26;75;1;1;U;356;356;4;0;210;274;9;21;270;0;0;S
4;2015;5;1;16;26;79;1;1;U;676;676;26;0;301;484;10;38;543;0;0;S
4;2015;5;1;16;26;80;1;1;U;502;502;21;0;250;350;9;5;407;0;0;S
4;2015;5;1;16;26;83;1;1;U;300;300;2;0;113;195;2;7;255;0;0;S
4;2015;5;1;16;26;84;1;1;A;769;769;21;0;275;392;30;18;451;0;0;S
4;2015;5;1;16;26;84;1;1;B;889;889;11;0;312;469;26;14;531;0;0;S
4;2015;5;1;16;26;84;1;2;A;632;632;11;0;210;316;7;12;393;0;0;S
4;2015;5;1;15;30;16;10;21;U;690;690;2;0;269;349;4;6;410;0;0;S
4;2015;5;1;15;30;16;10;22;U;744;744;2;0;195;293;2;10;365;0;0;S
4;2015;5;1;15;30;16;10;23;U;611;611;2;0;202;284;8;3;345;0;0;S
4;2015;5;1;15;30;16;10;24;U;785;785;0;0;275;411;8;2;507;0;0;S
4;2015;5;1;15;30;16;10;25;U;837;837;1;0;286;395;4;6;480;0;0;S
4;2015;5;1;15;30;16;10;26;A;573;573;2;0;197;247;9;6;300;0;0;S
4;2015;5;1;15;30;16;10;26;B;546;546;2;0;199;255;4;3;294;0;0;S
4;2015;5;1;15;30;16;10;27;U;902;902;1;0;301;469;10;6;567;0;0;S
4;2015;5;1;15;30;16;10;28;A;517;517;1;0;201;297;3;2;380;0;0;S
4;2015;5;1;15;30;16;10;28;B;549;549;2;0;200;310;9;3;376;0;0;S
4;2015;5;1;15;30;16;10;29;A;878;878;3;0;326;489;11;11;591;0;0;S
4;2015;5;1;15;30;16;10;29;B;322;322;1;0;97;124;5;3;156;0;0;S
4;2015;5;1;15;30;16;10;30;A;432;432;0;0;136;175;2;3;238;0;0;S
4;2015;5;1;15;30;16;10;30;B;468;468;0;0;134;195;3;0;248;0;0;S
4;2015;5;1;15;30;16;10;31;A;712;712;1;0;246;371;8;4;468;0;0;S
4;2015;5;1;15;30;16;10;31;B;716;716;0;0;249;385;5;1;486;0;0;S
4;2015;5;1;15;30;16;10;32;A;582;582;1;0;200;294;6;4;363;0;0;S
4;2015;5;1;15;30;16;10;32;B;518;518;1;0;175;360;4;10;323;0;0;S
4;2015;5;1;15;30;16;10;33;U;729;729;1;0;230;345;5;3;413;0;0;S
4;2015;5;1;15;30;16;10;34;U;600;600;0;0;235;281;0;6;338;0;0;S
4;2015;5;1;15;30;16;10;35;U;669;669;0;0;209;287;4;2;353;0;0;S
4;2015;5;1;15;30;16;10;36;U;652;652;7;0;244;327;4;2;377;0;0;S
4;2015;5;1;15;30;16;10;37;A;476;477;1;0;209;267;6;10;283;0;0;S
4;2015;5;1;15;30;16;10;37;B;453;453;1;0;303;231;2;6;266;0;0;S
4;2015;5;1;15;30;16;10;38;U;674;674;1;0;269;332;6;8;370;0;0;S
4;2015;5;1;15;30;16;10;39;U;855;856;4;0;303;429;5;6;510;0;0;S
4;2015;5;1;15;30;16;10;40;U;879;879;2;0;332;475;8;8;575;0;0;S
4;2015;5;1;15;30;16;10;42;U;607;607;0;0;225;311;6;5;352;0;0;S
4;2015;5;1;15;30;16;10;43;U;578;578;1;0;208;283;6;3;377;0;0;S
4;2015;5;1;15;30;16;10;44;U;606;606;0;0;188;269;6;1;319;0;0;S
4;2015;5;1;15;30;16;10;45;U;560;560;2;0;203;303;3;1;340;0;0;S
4;2015;5;1;15;30;16;10;46;U;723;723;3;0;306;423;8;3;481;0;0;S
4;2015;5;1;15;30;17;1;1;U;809;809;5;0;361;479;9;6;569;0;0;S
4;2015;5;1;15;30;17;1;3;U;646;646;1;0;302;400;2;5;502;0;0;S
4;2015;5;1;15;30;17;1;4;U;807;807;14;0;289;403;7;7;548;0;0;S
4;2015;5;1;15;30;17;1;5;U;663;663;0;0;311;414;4;6;512;0;0;S
4;2015;5;1;15;30;17;1;6;A;577;577;2;0;244;345;8;17;421;0;0;S
4;2015;5;1;15;30;17;1;6;B;466;466;4;0;208;288;5;5;342;0;0;S
4;2015;5;1;15;30;17;1;7;U;881;881;0;0;345;484;9;15;612;0;0;S
4;2015;5;1;15;30;17;1;8;A;522;522;1;0;183;289;11;6;369;0;0;S
4;2015;5;1;15;30;17;1;8;B;465;465;3;0;160;254;5;9;320;0;0;S
4;2015;5;1;15;30;17;1;9;U;752;752;1;0;286;424;13;16;545;0;0;S
4;2015;5;1;15;30;17;1;10;U;516;516;1;0;225;316;7;7;368;0;0;S
4;2015;5;1;15;30;17;1;11;A;496;499;12;0;186;272;3;6;353;0;0;S
4;2015;5;1;16;26;103;1;1;U;790;791;3;0;385;547;15;16;606;0;0;S
4;2015;5;1;16;26;105;1;1;A;577;577;1;0;223;324;11;8;411;0;0;S
4;2015;5;1;16;26;105;1;1;B;529;529;1;0;214;305;7;5;402;0;0;S
4;2015;5;1;16;26;105;1;2;A;528;528;2;0;237;341;16;15;385;0;0;S
4;2015;5;1;16;26;105;1;2;B;568;568;2;0;228;345;7;7;418;0;0;S
4;2015;5;1;16;26;108;1;1;A;233;233;3;0;113;152;0;5;190;0;0;S
4;2015;5;1;16;26;108;1;1;B;42;42;0;0;23;27;2;0;36;0;0;S
4;2015;5;1;16;26;111;1;1;U;246;246;2;0;119;172;4;7;197;0;0;S
4;2015;5;1;16;26;112;1;1;U;251;251;0;0;130;185;0;3;221;0;0;S
4;2015;5;1;16;26;117;1;1;A;645;645;109;0;307;388;25;12;421;0;0;S
4;2015;5;1;16;26;117;1;1;B;665;665;182;0;271;350;9;25;406;0;0;S
4;2015;5;1;16;26;117;1;2;A;740;740;97;0;358;443;15;30;491;0;0;S
4;2015;5;1;16;26;117;1;2;B;610;610;98;0;245;324;10;22;373;0;0;S
4;2015;5;1;16;26;119;1;1;U;214;214;8;0;113;155;3;1;187;0;0;S
4;2015;5;1;16;26;120;1;1;U;861;861;1;0;352;544;16;25;620;0;0;S
4;2015;5;1;16;26;120;1;2;U;618;618;4;0;316;405;4;19;471;0;0;S
4;2015;5;1;16;26;124;1;1;A;421;421;16;0;190;268;6;5;355;0;0;S
4;2015;5;1;16;26;124;1;1;B;438;438;7;0;186;278;5;1;377;0;0;S
4;2015;5;1;16;26;125;1;1;A;724;724;0;0;332;440;15;14;497;0;0;S
4;2015;5;1;16;26;125;1;1;B;734;734;3;0;347;466;15;7;531;0;0;S
4;2015;5;1;15;30;26;1;11;A;460;460;139;0;113;156;6;3;220;0;0;S
4;2015;5;1;15;30;26;1;11;B;518;518;111;0;141;225;5;5;259;0;0;S
4;2015;5;1;15;30;26;1;12;U;648;648;16;0;233;350;12;5;430;0;0;S
4;2015;5;1;15;30;26;1;13;U;833;833;59;0;234;314;8;7;492;0;0;S
4;2015;5;1;15;30;26;1;14;U;905;905;44;0;299;405;9;19;523;0;0;S
4;2015;5;1;15;30;26;1;15;U;859;859;90;0;258;404;14;20;477;0;0;S
4;2015;5;1;15;30;26;1;16;U;589;589;68;0;168;241;8;3;283;0;0;S
4;2015;5;1;15;30;26;1;17;A;409;409;11;0;188;258;9;17;272;0;0;S
4;2015;5;1;15;30;26;1;17;B;529;529;9;0;182;297;3;16;352;0;0;S
4;2015;5;1;15;30;26;1;18;A;825;825;509;0;225;302;4;6;352;0;0;S
4;2015;5;1;15;30;26;1;18;B;783;783;453;0;216;311;6;12;350;0;0;S
4;2015;5;1;15;30;26;1;19;U;915;915;20;0;316;481;9;20;621;0;0;S
4;2015;5;1;15;30;26;1;20;U;650;650;24;0;240;338;6;9;428;0;0;S
4;2015;5;1;15;30;26;1;21;A;625;625;308;0;187;278;7;7;322;0;0;S
4;2015;5;1;15;30;26;1;21;B;635;635;238;0;182;239;4;11;341;0;0;S
4;2015;5;1;15;30;27;1;1;A;449;450;3;0;170;214;3;3;263;0;0;S
4;2015;5;1;15;30;27;1;1;B;467;467;4;0;174;224;3;2;282;0;0;S
4;2015;5;1;15;30;27;1;2;U;659;659;7;0;230;330;4;8;395;0;0;S
4;2015;5;1;15;30;27;1;3;U;818;818;9;0;324;414;2;12;488;0;0;S
4;2015;5;1;15;30;27;1;4;U;628;628;6;0;224;310;9;4;357;0;0;S
4;2015;5;1;15;30;27;1;5;U;804;804;10;0;295;431;9;9;509;0;0;S
4;2015;5;1;15;30;27;1;6;A;542;542;7;0;177;252;3;8;310;0;0;S
4;2015;5;1;15;30;27;1;6;B;467;467;7;0;172;223;2;6;285;0;0;S
4;2015;5;1;15;30;27;1;7;A;647;647;5;0;224;269;5;8;352;0;0;S
4;2015;5;1;15;30;27;1;7;B;625;625;7;0;221;299;10;7;377;0;0;S
4;2015;5;1;15;30;27;1;8;U;843;843;5;0;320;441;5;14;550;0;0;S
4;2015;5;1;17;3;14;3;4;U;762;762;15;0;278;346;3;1;414;0;0;S
4;2015;5;1;17;3;14;3;5;U;625;625;18;0;228;295;2;6;352;0;0;S
4;2015;5;1;17;3;14;3;6;A;421;421;3;0;150;186;4;3;232;0;0;S
4;2015;5;1;17;3;14;3;6;B;496;496;4;0;157;220;0;4;287;0;0;S
4;2015;5;1;17;3;14;3;7;U;565;565;10;0;190;250;3;2;310;0;0;S
4;2015;5;1;17;3;14;3;8;U;819;819;12;0;148;354;4;5;426;0;0;S
4;2015;5;1;17;3;14;3;9;A;436;436;7;0;148;190;3;4;248;0;0;S
4;2015;5;1;17;3;14;3;9;B;473;468;5;0;169;233;4;3;274;0;0;S
4;2015;5;1;17;3;14;3;10;U;803;803;0;0;320;429;4;10;518;0;0;S
4;2015;5;1;17;3;14;3;11;A;563;563;2;0;210;260;6;2;324;0;0;S
4;2015;5;1;17;3;14;3;11;B;554;554;3;0;197;253;6;2;322;0;0;S
4;2015;5;1;17;3;14;3;12;U;751;745;6;0;230;299;4;4;377;0;0;S
4;2015;5;1;17;3;14;3;13;U;553;553;14;0;223;278;4;6;331;0;0;S
4;2015;5;1;17;3;14;3;14;A;474;474;0;0;133;184;3;2;235;0;0;S
4;2015;5;1;17;3;14;3;14;B;464;464;5;0;163;207;3;1;244;0;0;S
4;2015;5;1;17;3;14;3;15;A;484;484;6;0;131;187;1;2;246;0;0;S
4;2015;5;1;17;3;14;3;15;B;459;459;10;0;130;179;3;1;226;0;0;S
4;2015;5;1;17;3;14;3;16;A;455;455;5;0;173;241;7;3;295;0;0;S
4;2015;5;1;17;3;14;3;16;B;571;571;7;0;217;311;4;5;392;0;0;S
4;2015;5;1;17;3;14;3;16;C;563;563;6;0;197;280;8;4;365;0;0;S
4;2015;5;1;17;3;14;3;17;U;629;616;13;0;217;317;5;4;384;0;0;S
4;2015;5;1;17;3;14;3;18;U;525;525;9;0;256;283;1;2;315;0;0;S
4;2015;5;1;17;3;14;3;19;U;753;753;11;0;302;402;5;5;450;0;0;S
4;2015;5;1;17;3;14;3;20;U;765;765;10;0;278;345;9;1;409;0;0;S
4;2015;5;1;17;3;14;3;21;U;599;599;14;0;267;310;2;6;357;0;0;S
4;2015;5;1;17;3;14;3;22;U;829;829;7;0;258;343;2;3;430;0;0;S
4;2015;5;1;17;3;14;3;23;U;635;635;9;0;239;305;2;3;349;0;0;S
4;2015;5;1;17;3;14;3;24;U;521;521;0;0;215;273;2;1;317;0;0;S
4;2015;5;1;17;3;14;3;25;U;577;577;4;0;208;263;2;1;334;0;0;S
4;2015;5;1;17;3;14;3;26;U;840;840;14;0;292;392;5;5;452;0;0;S
4;2015;5;1;17;3;14;3;27;U;628;628;12;0;244;288;3;7;322;0;0;S
4;2015;5;1;17;3;14;3;28;A;404;404;1;0;171;206;2;3;240;0;0;S
4;2015;5;1;17;3;14;3;28;B;431;431;5;0;175;208;1;1;242;0;0;S
4;2015;5;1;17;3;14;3;29;A;551;551;0;0;225;273;1;4;331;0;0;S
4;2015;5;1;17;3;14;3;29;B;497;497;0;0;222;264;1;3;306;0;0;S
4;2015;5;1;17;3;14;3;30;A;516;516;2;0;183;232;3;3;295;0;0;S
4;2015;5;1;17;3;14;3;30;B;548;548;4;0;221;283;5;9;335;0;0;S
4;2015;5;1;17;3;14;3;31;U;740;740;5;0;268;336;1;2;407;0;0;S
4;2015;5;1;16;26;84;1;2;B;658;658;3;0;254;353;14;20;409;0;0;S
4;2015;5;1;16;26;84;1;3;A;773;773;10;0;277;377;25;20;473;0;0;S
4;2015;5;1;16;26;84;1;3;B;737;737;8;0;279;379;26;13;463;0;0;S
4;2015;5;1;16;26;84;1;4;A;537;537;5;0;209;293;21;8;315;0;0;S
4;2015;5;1;16;26;84;1;4;B;570;570;1;0;210;288;13;12;345;0;0;S
4;2015;5;1;16;26;84;1;5;A;476;476;8;0;138;201;6;3;262;0;0;S
4;2015;5;1;16;26;84;1;5;B;566;566;6;0;151;222;4;9;320;0;0;S
4;2015;5;1;16;26;87;1;1;U;217;217;3;0;98;149;11;12;151;0;0;S
4;2015;5;1;16;26;89;1;1;U;802;802;2;0;209;293;6;7;383;0;0;S
4;2015;5;1;16;26;89;1;2;U;809;809;8;0;255;344;14;7;438;0;0;S
4;2015;5;1;16;26;89;1;3;A;637;637;6;0;260;342;7;6;440;0;0;S
4;2015;5;1;16;26;89;1;3;B;727;727;12;0;270;407;8;8;497;0;0;S
4;2015;5;1;16;26;89;1;4;A;440;440;3;0;156;214;9;9;278;0;0;S
4;2015;5;1;16;26;89;1;4;B;548;548;5;0;206;281;8;12;345;0;0;S
4;2015;5;1;16;26;89;2;1;A;628;628;1;0;233;344;5;4;443;0;0;S
4;2015;5;1;16;26;89;2;1;B;588;588;2;0;224;308;7;4;394;0;0;S
4;2015;5;1;16;26;89;2;2;A;724;724;9;0;287;381;10;5;501;0;0;S
4;2015;5;1;16;26;89;2;2;B;718;718;8;0;284;326;7;3;476;0;0;S
4;2015;5;1;16;26;89;2;3;U;833;833;11;0;318;413;8;10;541;0;0;S
4;2015;5;1;13;31;901;1;3;A;683;683;4;0;242;349;9;8;433;0;0;S
4;2015;5;1;13;31;901;1;3;B;731;731;2;0;283;386;3;18;487;0;0;S
4;2015;5;1;13;31;901;1;4;A;569;569;4;0;227;325;8;6;405;0;0;S
4;2015;5;1;13;31;901;1;4;B;555;555;1;0;216;293;11;1;384;0;0;S
4;2015;5;1;13;31;901;1;4;C;512;512;2;0;216;281;5;2;370;0;0;S
4;2015;5;1;13;31;901;1;5;A;604;604;3;0;230;308;10;5;411;0;0;S
4;2015;5;1;13;31;901;1;5;B;661;661;3;0;260;362;13;7;447;0;0;S
4;2015;5;1;13;31;901;1;5;C;605;605;2;0;207;297;14;4;412;0;0;S
4;2015;5;1;13;31;901;1;6;A;688;688;2;0;233;355;8;9;452;0;0;S
4;2015;5;1;13;31;901;1;6;B;662;662;4;0;230;330;5;3;430;0;0;S
4;2015;5;1;13;31;901;1;7;A;725;725;1;0;287;383;8;4;535;0;0;S
4;2015;5;1;13;31;901;1;7;B;758;758;0;0;307;433;4;5;577;0;0;S
4;2015;5;1;13;31;901;1;8;A;605;605;3;0;200;339;11;5;411;0;0;S
4;2015;5;1;13;31;901;1;8;B;568;568;1;0;208;288;7;5;402;0;0;S
4;2015;5;1;13;31;901;1;8;C;586;586;0;0;171;270;12;5;374;0;0;S
4;2015;5;1;13;31;901;1;9;A;439;443;1;0;141;192;7;3;263;0;0;S
4;2015;5;1;13;31;901;1;9;B;483;483;0;0;168;224;9;1;328;0;0;S
4;2015;5;1;13;31;901;1;10;A;621;621;0;0;208;328;5;4;442;0;0;S
4;2015;5;1;13;31;901;1;10;B;621;621;1;0;253;358;13;4;460;0;0;S
4;2015;5;1;13;31;901;1;10;C;560;560;5;0;198;284;13;2;383;0;0;S
4;2015;5;1;13;31;901;1;11;A;734;734;2;0;264;369;10;7;487;0;0;S
4;2015;5;1;13;31;901;1;11;B;654;654;2;0;219;304;15;5;440;0;0;S
4;2015;5;1;13;31;902;1;1;A;542;542;0;0;229;303;6;3;389;0;0;S
4;2015;5;1;13;31;902;1;1;B;547;547;5;0;194;264;12;6;315;0;0;S
4;2015;5;1;13;31;902;1;1;C;578;578;3;0;214;315;15;5;397;0;0;S
4;2015;5;1;13;31;902;1;2;A;580;580;10;0;246;313;17;8;371;0;0;S
4;2015;5;1;13;31;902;1;2;B;640;640;5;0;231;298;21;3;388;0;0;S
